T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
188,Costa Rica,1995,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2005,GDP real rates of growth (percent),4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2010,GDP real rates of growth (percent),5.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2015,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2020,GDP real rates of growth (percent),-4.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2022,GDP real rates of growth (percent),4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2023,GDP real rates of growth (percent),5.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,1995,GDP in current prices (millions of US dollars),"11,105",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2005,GDP in current prices (millions of US dollars),"17,092",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2010,GDP in current prices (millions of US dollars),"26,290",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2015,GDP in current prices (millions of US dollars),"45,815",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2020,GDP in current prices (millions of US dollars),"63,028",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2022,GDP in current prices (millions of US dollars),"70,173",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2023,GDP in current prices (millions of US dollars),"78,789",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,1995,GDP per capita (US dollars),748,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2005,GDP per capita (US dollars),852,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2010,GDP per capita (US dollars),"1,169",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2015,GDP per capita (US dollars),"1,815",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2020,GDP per capita (US dollars),"2,180",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2022,GDP per capita (US dollars),"2,309",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2023,GDP per capita (US dollars),"2,528",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,1995,GDP in constant 2015 prices (millions of US dollars),"18,381",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2005,GDP in constant 2015 prices (millions of US dollars),"21,764",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2010,GDP in constant 2015 prices (millions of US dollars),"25,634",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2015,GDP in constant 2015 prices (millions of US dollars),"45,815",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2020,GDP in constant 2015 prices (millions of US dollars),"59,424",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2022,GDP in constant 2015 prices (millions of US dollars),"67,577",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2023,GDP in constant 2015 prices (millions of US dollars),"71,994",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,1995,GDP real rates of growth (percent),7.1,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2005,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2010,GDP real rates of growth (percent),7.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2015,GDP real rates of growth (percent),14.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2020,GDP real rates of growth (percent),0.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2022,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
384,Côte d’Ivoire,2023,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,1995,GDP in current prices (millions of US dollars),"22,638",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,2005,GDP in current prices (millions of US dollars),"45,822",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,2010,GDP in current prices (millions of US dollars),"60,971",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,2015,GDP in current prices (millions of US dollars),"50,504",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,2020,GDP in current prices (millions of US dollars),"57,809",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,2022,GDP in current prices (millions of US dollars),"71,154",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,2023,GDP in current prices (millions of US dollars),"84,391",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,1995,GDP per capita (US dollars),"4,901",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
191,Croatia,2005,GDP per capita (US dollars),"10,622",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
